# My Pokemon Ranch -- renderable Pokemon-model ("Pii") roster
# Extracted from 00000001.app (a DOL) @ vaddr 0x805DA180.
# 651 slots x 0x20 bytes each: { char* name_M, char* name_F, f32 scale, f32 size, u32 flags, u16, u16, u32 }.
# Model names (romaji) live in a blob at 0x8063B228, in National Dex order.
# NOTE: the model-table INDEX below is NOT the Pokemon's species number -- gender
#   variants (_M/_F) and forms each take their own slot, and 173 slots are placeholders
#   (name ptr -> 0x807Cxxxx) for species with no dedicated ranch model. Arceus fills 17
#   slots (632-648); the two eggs are 649 (TAMAGO_NORMAL) and 650 (TAMAGO_MANAFI).
# The talent_pt pokemon_level/met_location fields are SPECIES numbers, not these indices.
#
# index	name_M	name_F	kind
583	NEORANTO_F	NEORANTO_F	gendered
584	<807C0B98>	<807C0B98>	placeholder
585	YUKIKABURI_M	YUKIKABURI_M	gendered
586	YUKIKABURI_F	YUKIKABURI_F	gendered
587	YUKINOOO_M	YUKINOOO_F	gendered
588	YUKINOOO_F	YUKINOOO_F	gendered
589	MANYUURA_M	MANYUURA_F	gendered
590	MANYUURA_F	MANYUURA_F	gendered
591	ZIBAKOIRU	ZIBAKOIRU	model
592	BEROBERUTO	BEROBERUTO	model
593	DOSAIDON_M	DOSAIDON_F	gendered
594	DOSAIDON_F	DOSAIDON_F	gendered
595	MOZYANBO_M	MOZYANBO_M	gendered
596	MOZYANBO_F	MOZYANBO_F	gendered
597	EREKIBURU	EREKIBURU	model
598	<807C0BA0>	<807C0BA0>	placeholder
599	TOGEKISSU	TOGEKISSU	model
600	MEGAYANMA	MEGAYANMA	model
601	<807C0BA8>	<807C0BA8>	placeholder
602	GUREISIA	GUREISIA	model
603	<807C0BB0>	<807C0BB0>	placeholder
604	MANMUU_M	MANMUU_F	gendered
605	MANMUU_F	MANMUU_F	gendered
606	PORIGONZ	PORIGONZ	model
607	ERUREIDO	ERUREIDO	model
608	DAINOOZU	DAINOOZU	model
609	YONOWAARU	YONOWAARU	model
610	YUKIMENOKO	YUKIMENOKO	model
611	ROTOMU_NORMAL	ROTOMU_NORMAL	model
612	ROTOMU_HEAT	ROTOMU_HEAT	model
613	ROTOMU_WASH	ROTOMU_WASH	model
614	ROTOMU_FROST	ROTOMU_FROST	model
615	ROTOMU_SPIN	ROTOMU_SPIN	model
616	ROTOMU_CUT	ROTOMU_CUT	model
617	<807C0BB8>	<807C0BB8>	placeholder
618	EMURITTO	EMURITTO	model
619	<807C0BC0>	<807C0BC0>	placeholder
620	DHIARUGA	DHIARUGA	model
621	<807C0BC8>	<807C0BC8>	placeholder
622	HIIDORAN	HIIDORAN	model
623	REZIGIGASU	REZIGIGASU	model
624	GIRATHINA_ANOTHER	GIRATHINA_ANOTHER	model
625	GIRATHINA_ORIGIN	GIRATHINA_ORIGIN	model
626	KURESERIA	KURESERIA	model
627	<807C0BD0>	<807C0BD0>	placeholder
628	<807C0BD8>	<807C0BD8>	placeholder
629	DAAKURAI	DAAKURAI	model
630	SHEIMI_LAND	SHEIMI_LAND	model
631	SHEIMI_SKY	SHEIMI_SKY	model
632	ARUSEUSU	ARUSEUSU	model
633	ARUSEUSU	ARUSEUSU	model
634	ARUSEUSU	ARUSEUSU	model
635	ARUSEUSU	ARUSEUSU	model
636	ARUSEUSU	ARUSEUSU	model
637	ARUSEUSU	ARUSEUSU	model
638	ARUSEUSU	ARUSEUSU	model
639	ARUSEUSU	ARUSEUSU	model
640	ARUSEUSU	ARUSEUSU	model
641	ARUSEUSU	ARUSEUSU	model
642	ARUSEUSU	ARUSEUSU	model
643	ARUSEUSU	ARUSEUSU	model
644	ARUSEUSU	ARUSEUSU	model
645	ARUSEUSU	ARUSEUSU	model
646	ARUSEUSU	ARUSEUSU	model
647	ARUSEUSU	ARUSEUSU	model
648	ARUSEUSU	ARUSEUSU	model
649	TAMAGO_NORMAL	TAMAGO_NORMAL	egg
650	TAMAGO_MANAFI	TAMAGO_MANAFI	egg
